lat,lon,id,DAYS_OF_OPERATION,HOURLY_RATE,MAX_TIME,HOURS_OF_OPERATION,TYPE_OF_METER
34.14300319,-118.1505677,113,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14293998,-118.1505675,114,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1428708,-118.1505667,115,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14280939,-118.1505644,116,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14273902,-118.150565,117,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14268237,-118.1505635,118,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14260542,-118.150345,119,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14267101,-118.1503451,120,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14273601,-118.1503459,121,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14278849,-118.1503453,122,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14299541,-118.1503492,123,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14305862,-118.1503501,124,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14312183,-118.1503509,125,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14318802,-118.1503517,126,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14325242,-118.1503511,127,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14331205,-118.1503527,128,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14225809,-118.1505595,129,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1422068,-118.1505601,130,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14206398,-118.1505584,131,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14199243,-118.1505576,132,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14193458,-118.1505575,133,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14188032,-118.1505552,134,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14151418,-118.1505539,135,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14144739,-118.1505523,136,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1413806,-118.1505529,137,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14132753,-118.1505514,138,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14136835,-118.1503338,139,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14163043,-118.1503371,140,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14169662,-118.1503387,141,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1417646,-118.1503388,142,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14182901,-118.1503389,143,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14189401,-118.150339,144,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1419602,-118.1503391,145,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14202609,-118.1503407,146,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14209466,-118.1503444,147,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14215669,-118.1503409,148,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.1422187,-118.150341,149,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14229264,-118.150344,150,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14805904,-118.1504096,151,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14812643,-118.1504083,152,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14819083,-118.150407,153,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14825643,-118.1504064,154,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14832083,-118.1504072,155,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14836973,-118.1504066,156,Sun-Thurs/Fri-Sat,1.25,2,11am-8pm/11am-2am,single-space
34.14210059,-118.1522834,157,Mon-Sat,1.25,2,11am-8pm/11am-2am,single-space
