lat,lon,id,Sign
34.15092511,-118.1430688,1059, 2 hr parking 7am-6pm
34.15061017,-118.1430646,1060, 2 hr parking 7am-6pm
34.15035198,-118.1430612,1061, 2 hr parking 7am-6pm
34.14974746,-118.1430514,1062, 2 hr parking 7am-6pm
34.14924065,-118.143046,1063, 1 hr parking 7am-5pm
34.14913028,-118.143046,1064, handicap parking only
34.14853658,-118.1430402,1065, 1 hr parking 7am-5pm
34.14883037,-118.1430444,1066, 1 hr parking 7am-5pm
34.14817779,-118.1430378,1067, handicap parking only
34.14749753,-118.1430312,1068, handicap parking only
34.1467101,-118.1430266,1069, 1 hr parking 7am-5pm
34.14651831,-118.1430227,1070, 1 hr parking 7am-6pm
34.14608775,-118.1430199,1071, 1 hr parking 7am-6pm
34.14643625,-118.1428574,1072, 1 hr parking 7am-6pm
34.14670913,-118.1428574,1073, 1 hr parking 7am-6pm
34.1478087,-118.142871,1074, 15 min parking 7am-5pm
34.14802269,-118.1428714,1075, 15 min parking 7am-5pm
34.14817103,-118.142873,1076, 15 min parking 7am-5pm
34.14836636,-118.1428737,1077, handicap parking only
34.14846515,-118.1428765,1078, handicap parking only
34.14874671,-118.1428761,1079, 1 hr parking 7am-5pm
34.14902151,-118.1428784,1080, 1 hr parking 7am-5pm
34.14972912,-118.1428866,1081, 2 hr parking 7am-6pm
34.15004993,-118.1428897,1082, 2 hr parking 7am-6pm
34.15030382,-118.1428905,1083, 2 hr parking 7am-6pm
34.15069189,-118.1428944,1084, 2 hr parking 7am-6pm
34.15102428,-118.1428955,1085, 2 hr parking 7am-6pm
34.14831963,-118.1449546,1086, 1 hr parking 7am-5pm
34.14831355,-118.1455137,1087, 1 hr parking 7am-5pm
34.14832165,-118.1446346,1088, 1 hr parking 7am-5pm
34.1482847,-118.1438901,1089, 1 hr parking 7am-5pm
34.14828622,-118.1436491,1090, 1 hr parking 7am-5pm
34.14828773,-118.1434099,1091, 1 hr parking 7am-5pm
34.14828976,-118.1431652,1092, 1 hr parking 7am-5pm
34.14843354,-118.1434099,1093, 1 hr parking 7am-5pm
34.14842899,-118.1438907,1094, 1 hr parking 7am-5pm
34.14844012,-118.1446554,1095, commercial loading only
34.14843658,-118.1449662,1096, no stopping anytime (TOW AWAY)
34.14843354,-118.1453785,1097, no parking anytime
34.14843405,-118.1456532,1098, no parking anytime
34.14956351,-118.1535783,1099, no stopping anytime
34.14956579,-118.1530488,1100, no stopping anytime
34.14956905,-118.1524738,1101, no stopping anytime
34.14957068,-118.1520156,1102, no stopping anytime
34.14957263,-118.1515192,1103, no stopping anytime
34.14957068,-118.1509516,1104, no stopping anytime
34.14943288,-118.1500274,1105, bus stop metro
34.1494166,-118.1494137,1106, 2 hr parking
34.14942213,-118.1486327,1107, bus stop metro
34.14942604,-118.1481801,1108, no stopping anytime
34.14942376,-118.1479915,1109, bus stop Pasadena arts
34.14943679,-118.1475944,1110, no stopping anytime
34.14944103,-118.1470582,1111, no stopping anytime
34.14944298,-118.1464525,1112, no stopping anytime
34.14941894,-118.1456602,1113, bus stop metro
34.14942091,-118.1452856,1114, parking direction
34.14942366,-118.1449338,1115, no parking anytime
34.14942484,-118.1448007,1116, no parking anytime
34.14942563,-118.1446747,1117, no parking anytime
34.14942563,-118.1439936,1118, bus stop metro
34.14942799,-118.1438386,1119, 1 hr parking 7am-6pm
34.14945946,-118.1427481,1120, no stopping anytime
34.14946025,-118.1423336,1121, no stopping anytime
34.149439,-118.1418226,1122, no stopping anytime
34.14946654,-118.1412127,1123, no stopping anytime
34.1494689,-118.1408343,1124, no stopping anytime
34.14947126,-118.1403238,1125, no stopping anytime
34.1496357,-118.1403323,1126, no stopping anytime
34.14963767,-118.1406028,1127, no stopping anytime
34.14963649,-118.141053,1128, no stopping anytime
34.1496298,-118.141766,1129, no stopping anytime
34.14962626,-118.1419614,1130, bus stop metro
34.14962901,-118.1421021,1131, no stopping anytime
34.14962587,-118.142605,1132, no stopping anytime
34.14961918,-118.1436779,1133, no stopping anytime
34.14961603,-118.1440772,1134, bus stop metro
34.1496132,-118.1447214,1135, parking direction
34.14962201,-118.1455671,1136, no stopping anytime
34.1496154,-118.1453292,1137, no stopping anytime
34.14962774,-118.1458194,1138, no stopping anytime
34.14962142,-118.1463685,1139, bus stop metro
34.14962142,-118.1466346,1140, 2 hr parking
34.14961628,-118.1473207,1141, 2 hr parking
34.14961525,-118.1474811,1142, 2 hr parking
34.14959159,-118.1479131,1143, no stopping anytime
34.14958696,-118.1484799,1144, no stopping anytime
34.14958387,-118.1492301,1145, bus stop metro
34.14958387,-118.1494582,1146, no parking anytime
34.14975259,-118.1509138,1147, bus stop metro
34.14975516,-118.1512594,1148, no stopping anytime
34.14975053,-118.1518492,1149, no stopping anytime
34.14974796,-118.1522955,1150, no stopping anytime
34.1497459,-118.1528145,1151, no stopping anytime
34.15003719,-118.152909,1152, no parking 7am-6pm
34.15016807,-118.1526063,1153, no parking 7am-6pm
34.15028014,-118.1523131,1154, no parking 7am-9am
34.15035643,-118.15212,1155, no parking 7am-9am
34.15053466,-118.1516487,1156, no stopping anytime
34.15101659,-118.1500135,1157, no parking 7am-6pm
34.15107082,-118.1496836,1158, no parking 2am-6am on city streets except by permit
34.15110806,-118.1493708,1159, no parking 7am-6pm
34.15113662,-118.1490991,1160, no parking 7am-6pm
34.12559179,-118.1501574,1161, 3 hr parking
34.12502921,-118.1501513,1162, 3 hr parking
34.12442346,-118.1501458,1163, 3 hr parking
34.12469636,-118.1501478,1164, 3 hr parking
34.12594288,-118.1501888,1165, no stopping anytime
34.12653471,-118.1501952,1166, no stopping anytime
34.12714662,-118.1502012,1167, no stopping anytime
34.13256788,-118.1502522,1168, no stopping anytime
34.13624214,-118.1321534,1169, bus stop metro
34.13640227,-118.1321611,1170, 1 hr parking 9am-6pm
34.13676595,-118.1321633,1171, 1 hr parking 9am-6pm
34.13754237,-118.1321645,1172, 1 hr parking 9am-6pm
34.13717056,-118.1321607,1173, 1 hr parking 9am-6pm
34.13810894,-118.1321717,1174, bus stop metro
34.13835544,-118.1321746,1175, 1 hr parking 9am-6pm
34.13868229,-118.1321651,1176, pay direction
34.13878606,-118.132175,1177, 1 hr parking 9am-6pm
34.14042514,-118.1321902,1178, 1 hr parking 9am-6pm
34.1428173,-118.132214,1179, bus stop metro
34.14348478,-118.1322203,1180, 1 hr parking 9am-6pm
34.14385375,-118.1322202,1181, 1 hr parking 9am-6pm
34.14466501,-118.1322281,1182, no stopping anytime
34.14500032,-118.1322291,1183, no stopping anytime
34.14536143,-118.1322257,1184, no stopping anytime
34.14561432,-118.1322271,1185, no stopping anytime
34.14640577,-118.1322095,1186, bus stop metro
34.14699324,-118.1322415,1187, no stopping 7am-7pm ex Sat Sun
34.14742611,-118.1322422,1188, no stopping 7am-7pm ex Sat Sun
34.14818266,-118.1322512,1189, bus stop metro
34.14879765,-118.1322491,1190, no stopping 7am-7pm ex Sat Sun
34.15061783,-118.1322183,1191, no stopping anytime
34.15105474,-118.1322004,1192, no stopping anytime
34.12781607,-118.1502072,1193, bus stop metro
34.13010114,-118.1502283,1194, bus stop Pasadena arts
34.13187979,-118.1502447,1195, bus stop metro
34.13323029,-118.1502576,1196, no stopping anytime
34.13379434,-118.1502631,1197, no stopping anytime
34.13430876,-118.150267,1198, bus stop metro
34.13442196,-118.1502687,1199, no stopping anytime
34.13458296,-118.1502718,1200, no stopping anytime
34.13630736,-118.1502833,1201, bus stop metro
34.1364194,-118.1502857,1202, 1 hr parking 9am-6pm
34.13697787,-118.150291,1203, 1 hr parking 9am-6pm
34.13747758,-118.1502958,1204, 2 hr parking 9am-6pm ex Sun
34.13799889,-118.1503004,1205, 2 hr parking 9am-6pm ex Sun
34.13929149,-118.1503115,1206, 2 hr parking 9am-6pm ex Sun
34.14092479,-118.1503279,1207, bus stop metro
34.14134815,-118.1503313,1208, 4 hr parking
34.14191581,-118.1503362,1209, 4 hr parking
34.14303613,-118.1503466,1210, 4 hr parking
34.14333248,-118.1503456,1211, 4 hr parking
34.14372328,-118.1503559,1212, bus stop metro
34.14388716,-118.150347,1213, 2 hr parking
34.1450159,-118.1503638,1214, no stopping anytime
34.14540587,-118.1503674,1215, no stopping anytime
34.14616663,-118.1503947,1216, bus stop metro
34.1464194,-118.1504001,1217, no stopping anytime
34.14667874,-118.1504037,1218, bus stop metro
34.14716615,-118.1504041,1219, bus stop foothill
34.14740061,-118.1504052,1220, no stopping anytime
34.14791555,-118.1504055,1221, no stopping anytime
34.1479747,-118.150408,1222, bus stop foothill
34.14805275,-118.1504048,1223, 2 hr parking
34.14833369,-118.1504034,1224, 2 hr parking
34.14926676,-118.150398,1225, bus stop metro
34.1501316,-118.1504318,1226, no stopping anytime
34.15312921,-118.1504066,1227, no parking 2am-6am on city streets except by permit
34.15330327,-118.1504212,1228, no stopping anytime
34.15430655,-118.1504675,1229, bus stop metro
34.15458974,-118.1504725,1230, no stopping 4pm-6pm ex Sat Sun
34.15490747,-118.1504725,1231, no stopping 4pm-6pm ex Sat Sun
34.15538371,-118.1504784,1232, no stopping 4pm-6pm ex Sat Sun
34.15560509,-118.15048,1233, no stopping 4pm-6pm ex Sat Sun
34.15581886,-118.1504796,1234, no stopping 4pm-6pm ex Sat Sun
34.15810264,-118.1504834,1235, bus stop metro
34.15845938,-118.150508,1236, no stopping 4pm-6pm ex Sat Sun
34.15884444,-118.1505076,1237, no stopping 4pm-6pm ex Sat Sun
34.15931444,-118.1505138,1238, no stopping 4pm-6pm ex Sat Sun
34.15985179,-118.1505063,1239, bus stop metro
